candidate_record_id,new_t1_record_count,new_t1_oos_count,new_t1_de_count,new_t1_state_missing_count,new_t1_distinct_oos_states,new_t1_source_domain_diversity,new_t1_new_record_count,new_t1_record_correction_count,new_t1_status_update_count,newly_effective_t0_record_count,t1_has_linked_update,delta_linked_record_count,delta_oos_count_total,delta_de_count_total,delta_distinct_oos_states,delta_days_since_latest_oos,delta_days_since_latest_de,delta_source_diversity,delta_state_missing_ratio,delta_cross_source_conflict_count,delta_link_confidence_mean,delta_low_confidence_link_share,delta_oos_decay_90d,delta_de_decay_90d,delta_oos_decay_365d,delta_de_decay_365d,delta_latest_source_oos_count,delta_latest_source_de_count,delta_active_address_oos_count,delta_recent_latest_source_oos_count_365d,delta_recent_latest_source_de_count_365d,delta_historical_latest_source_oos_count,delta_recent_cross_source_conflict_count_365d,delta_recency_weighted_latest_source_oos,delta_oos_evidence_after_latest_de_count,delta_de_evidence_after_latest_oos_count,delta_recent_oos_after_latest_de_present,delta_recent_oos_independent_source_count_90d,delta_recent_de_independent_source_count_90d,delta_recent_oos_cross_source_confirmation_present_90d,delta_active_address_de_count,delta_oos_to_de_transition_count,delta_de_to_oos_transition_count,delta_post_60d_oos_vehicle_signal_count,delta_current_within_60_day_grace_proxy,delta_current_past_60_day_grace_proxy,delta_days_past_60_day_grace_proxy,delta_post_60d_active_oos_credential_signal_count,delta_post_60d_combined_title_active_credential_conflict_present,delta_post_60d_prior_state_persistence_any_present,delta_post_60d_prior_state_persistence_cross_source_present,delta_new_meaningful_oos_title_signal_post_60d_present,delta_t1_update_observation_lag_mean_days,delta_t1_late_arriving_update_count_over_30d
CAN-Z1CEVWXUT0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,96.0,0,0.0,0,0.0,0.0,-0.46358936528209105,-0.1285337732541282,-0.41201062268460786,-0.46090407571052117,0,0,0,0,-1,0,-2,-0.335574179434611,0,0,0,-1,0,0,0,0,0,0,-1,1,36,0,0,0,0,0,0.0,0
CAN-SIB7ACY70G,2,2,0,0,1,1,1,0,1,2,1,4,2,2,0,-25.0,-44.0,0,-0.024242424242424246,2,0.0002424242424242662,0.04242424242424242,0.7381165958286324,0.8791092178855221,1.39742050096323,1.4868050833120292,-1,1,0,1,1,-2,4,0.3342421419585091,-1,0,0,-1,2,-1,0,2,1,2,-1,1,57,0,0,1,0,1,37.0,1
CAN-PQXQQ41OZ5,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,88.0,-279.0,0,-0.005494505494505503,0,0.002335164835164827,-0.005494505494505503,-0.5254801417674002,0.7373246715395443,-0.32485371467341273,0.7111964805026028,-1,1,0,-1,0,0,-1,-0.8912929490903456,-2,1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,29.0,0
CAN-QCF4GZN8TD,1,0,1,0,0,1,1,0,0,1,1,2,1,1,0,-216.0,-158.0,0,0.0,0,-0.0003076923076922311,-0.010256410256410262,0.37777779518073856,0.5885627826808244,0.3214493639100082,0.5402892346487755,0,0,0,0,0,0,0,0.3452919703149966,0,-1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,12.0,0
CAN-TP15Z7VRP7,2,1,1,0,1,2,0,0,2,0,1,2,1,1,0,-47.0,-104.0,0,0.0,0,-0.0005128205128204222,-0.010256410256410262,0.8018933644282296,0.6886778274726345,0.8548886476236226,0.8220004206255433,0,0,1,0,1,0,1,0.08441988958721258,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,14.0,0
CAN-IM8E9J8Y7H,2,1,1,0,1,2,1,1,0,0,1,2,1,1,0,-221.0,-38.0,0,0.0,0,0.0018205128205128762,-0.010256410256410262,0.567243474889757,0.3796365838123241,0.5085562016377074,0.492378862890833,0,0,1,0,1,0,1,0.4152196968529275,0,-1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,29.0,1
CAN-IKOH5MXPHE,2,1,1,0,1,2,1,0,1,0,1,2,1,1,0,9.0,-110.0,0,0.0,0,0.0031944444444443887,-0.02777777777777779,0.2745372043751064,0.5701737866782903,0.6280724124102548,0.7563294471738118,0,0,0,0,0,0,0,0.060970708298701215,-2,1,-1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,43.5,2
CAN-NPLI344G66,2,1,1,0,1,2,1,0,1,0,1,2,1,1,0,-120.0,-135.0,0,0.0,2,0.0023809523809524835,-0.011904761904761904,0.7663673520026235,0.6909519272304047,0.8231306944816144,0.8365423581324323,-1,1,0,0,1,-1,2,-0.20165813553855272,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22.0,1
CAN-ZOT5VL4MCH,2,1,1,0,1,1,1,1,0,0,1,2,1,1,0,-213.0,-75.0,0,0.0,0,-0.000495356037151895,0.0,0.6041346500016768,0.6277883103984501,0.7234840262930025,0.7641814833523437,0,0,0,0,1,0,1,-0.061951566124557655,0,-1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,34.5,1
CAN-4OF8Y9P3W7,2,0,2,0,0,2,0,1,1,1,1,3,1,2,0,-92.0,-208.0,0,-0.019480519480519487,0,0.0015259740259740973,-0.019480519480519487,0.5625716553324568,1.5257355427151302,0.753330971700509,1.724349840786474,1,-1,0,1,2,0,6,0.7703015432485492,-2,1,-1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,27.0,1
CAN-Z9GFHZRGVT,2,0,2,0,0,2,0,1,1,1,1,3,0,3,0,185.0,-79.0,0,0.0,-6,-0.0016666666666667052,0.0,-0.4827390360102513,1.5531773558978115,-0.8382625814741445,1.958534945898728,-2,2,-1,-2,1,0,-6,-1.375978121511104,0,3,0,0,2,0,2,2,0,0,-1,1,125,0,0,0,0,0,36.5,1
CAN-VEM9FLAUD4,2,0,1,1,0,2,1,1,0,0,1,2,0,1,0,25.0,-56.0,0,0.056410256410256404,0,-0.0003076923076922311,-0.010256410256410262,-0.03971246381258525,0.8459038219393796,-0.08145548808583913,0.8836930890163868,0,0,0,0,0,0,0,-0.04700314215651202,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0
CAN-7S5O3NF7VE,2,2,0,0,1,2,2,0,0,1,1,3,2,1,0,-74.0,-50.0,1,0.0,1,-0.0009740259740259605,-0.019480519480519487,1.40957778400296,0.20584120343724444,1.435140480330046,0.5299135497262086,1,0,1,1,0,0,1,1.1820877181382081,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9.5,0
CAN-TF8EEP4TNZ,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,149.0,-455.0,0,0.0,2,-0.004220779220779125,0.03246753246753245,-0.13975191174276774,1.9258445179583497,-0.5182665109110942,2.4614353509874483,-2,2,0,-2,3,0,0,-1.254800064341541,-3,3,-1,0,2,0,1,2,0,0,0,1,38,0,0,0,0,0,0.0,0
CAN-58WQJ4U3GW,1,0,1,0,0,1,0,1,0,2,1,3,0,3,0,184.0,-137.0,0,0.0,0,-0.005974025974025965,0.05194805194805194,-0.4890914409812953,1.6401357271589707,-0.7034085470650959,2.093781584241167,-1,1,0,-1,2,0,1,-0.6287432223165685,-1,3,-1,-1,2,0,2,1,0,0,0,0,184,0,0,0,0,0,23.0,0
CAN-AMJ562SVCQ,1,1,0,0,1,1,0,1,0,2,1,3,3,0,0,44.0,150.0,0,0.0,0,-0.006558441558441541,0.07142857142857142,0.941855408450209,-0.08615362800953735,2.276739651279584,-0.4923778944435966,3,-3,0,3,-1,0,-1,2.313758074713113,3,0,0,0,0,0,-1,0,3,0,0,0,0,0,0,0,0,0,48.0,1
CAN-RODZDIBM5J,2,1,1,0,1,2,2,0,0,1,1,3,1,2,0,-332.0,-29.0,0,0.0,2,-0.0028333333333333544,0.05,0.6495337480889773,1.3044979128657483,0.5952283925895225,1.6107325544784175,-1,1,0,1,1,-2,2,0.11174090132801617,0,1,0,1,1,0,1,2,1,0,-1,1,41,0,0,0,0,0,30.5,1
CAN-AX19D3S77C,2,1,1,0,1,2,1,1,0,0,1,2,1,1,0,-342.0,-69.0,0,0.0,0,0.0014732142857143415,0.0,0.6934517027308044,0.5715823918449723,0.7019245337191911,0.7035107086907995,-1,1,0,1,1,-2,2,0.3733575796307569,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,36.5,2
CAN-4KGSUV4HFA,1,1,0,0,1,1,0,0,1,1,1,2,1,1,0,-43.0,51.0,0,0.0,2,0.0019047619047619646,-0.011904761904761904,0.23439863514983106,0.07414725350695606,0.5180972760806326,0.5891933496105022,-1,1,0,1,1,-2,4,0.12313076714976301,1,-1,1,0,0,0,1,1,0,0,-1,1,36,0,0,0,0,0,39.0,1
CAN-BTSSA3BW02,1,0,1,0,0,1,0,1,0,1,1,2,0,2,0,88.0,-100.0,0,0.0,-2,0.00011904761904768524,-0.011904761904761904,-0.4542868904825167,1.0301824168394698,-0.30850784091259587,1.4057316462267977,-1,1,0,-1,2,0,0,-0.6594060383354629,-1,2,-1,-1,2,0,-1,1,0,0,0,0,88,0,0,0,0,0,30.0,0
CAN-O523BGV6IR,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,6.0,154.0,0,0.0,0,0.00010989010989004289,-0.010989010989011005,-0.12125254569196375,-0.6815153028892031,0.22537397072667265,-0.7449716872161223,1,-1,1,0,0,1,0,0.5161536319109257,1,0,0,0,0,0,0,0,1,-1,0,-1,-1878,0,0,0,0,0,46.0,1
CAN-NT7RNCYJL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,36.0,0,0.0,0,0.0,0.0,-0.05842664327469385,-0.5278286438142139,-0.09980536174431398,-0.3115053335817386,0,0,0,0,0,0,0,-0.044348508089050664,0,0,0,0,-1,0,0,0,0,0,0,0,36,0,0,0,0,0,0.0,0
CAN-YZYTAO4MG4,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,-7.0,20.0,0,-0.004166666666666666,0,0.00012500000000004174,-0.004166666666666666,0.6752444763922496,-0.1926359200686374,0.8245895442788749,-0.0978410595628505,0,0,0,0,0,0,0,-0.018131073455167623,1,0,0,0,-1,0,0,0,0,0,-1,1,4,0,0,0,0,0,19.0,0
CAN-2Z7D2FBM05,1,0,1,0,0,1,1,0,0,1,1,2,0,2,0,51.0,20.0,0,0.0,0,-0.005692307692307663,0.06666666666666667,-0.3849307378974749,1.1586032298368394,-0.2380454286071001,1.6444258189171772,-1,1,0,0,1,-1,2,-0.35955347622941014,0,2,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,26.0,0
CAN-S177BFJOH6,1,0,1,0,0,1,0,0,1,1,1,2,1,1,0,-368.0,28.0,0,0.0,0,-0.0004761904761905189,0.0,0.7976029521701089,0.29314535542117603,0.8693128679937414,0.720577085103586,0,0,0,1,1,-1,4,0.5803295419030728,1,-4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,43.0,1
CAN-6TS8MFZNG7,2,0,2,0,0,1,1,1,0,1,1,3,0,3,0,70.0,-123.0,0,0.0,-6,0.006168831168831046,-0.038961038961038974,-0.10832584663089978,2.1323869350857754,-0.1570281115509673,2.5483352004520095,-2,2,0,0,1,-2,0,-0.3023656756528536,0,3,0,0,2,0,1,2,0,0,-1,1,10,0,0,0,0,0,24.0,1
