artifact,column,role,dtype,description,source_url
features_t0/features_t1,candidate_record_id,metadata,object,Stable candidate identifier; metadata only and never a model predictor.,
features_t0/features_t1,phase,metadata,object,Prediction phase metadata.,
features_t0/features_t1,as_of_date,metadata,object,Date through which effective/available evidence is included; metadata only.,
features_t0/features_t1,candidate_observed_is_de,model_candidate_feature,int64,Candidate observed is de.,
features_t0/features_t1,candidate_observed_is_oos,model_candidate_feature,int64,Candidate observed is oos.,
features_t0/features_t1,future_effective_record_count,model_candidate_feature,int64,Phase-available linked records excluded because their effective/event date is after the phase as-of date.,
features_t0/features_t1,linked_record_count,model_candidate_feature,int64,Linked record count.,
features_t0/features_t1,de_count_total,model_candidate_feature,int64,De count total.,
features_t0/features_t1,oos_count_total,model_candidate_feature,int64,Oos count total.,
features_t0/features_t1,state_missing_count,model_candidate_feature,int64,State missing count.,
features_t0/features_t1,state_missing_ratio,model_candidate_feature,float64,State missing ratio.,
features_t0/features_t1,oos_share_known_state,model_candidate_feature,float64,Oos share known state.,
features_t0/features_t1,distinct_oos_states,model_candidate_feature,int64,Distinct oos states.,
features_t0/features_t1,source_diversity,model_candidate_feature,int64,Source diversity.,
features_t0/features_t1,oos_count_30d,model_candidate_feature,int64,Oos count 30d.,
features_t0/features_t1,de_count_30d,model_candidate_feature,int64,De count 30d.,
features_t0/features_t1,oos_count_60d,model_candidate_feature,int64,Oos count 60d.,
features_t0/features_t1,de_count_60d,model_candidate_feature,int64,De count 60d.,
features_t0/features_t1,oos_count_90d,model_candidate_feature,int64,Oos count 90d.,
features_t0/features_t1,de_count_90d,model_candidate_feature,int64,De count 90d.,
features_t0/features_t1,oos_count_180d,model_candidate_feature,int64,Oos count 180d.,
features_t0/features_t1,de_count_180d,model_candidate_feature,int64,De count 180d.,
features_t0/features_t1,oos_count_365d,model_candidate_feature,int64,Oos count 365d.,
features_t0/features_t1,de_count_365d,model_candidate_feature,int64,De count 365d.,
features_t0/features_t1,historical_oos_count_over_365d,model_candidate_feature,int64,Historical oos count over 365d.,
features_t0/features_t1,days_since_latest_oos,model_candidate_feature,float64,Days since latest oos.,
features_t0/features_t1,days_since_latest_de,model_candidate_feature,float64,Days since latest de.,
features_t0/features_t1,de_after_oos,model_candidate_feature,int64,Latest DE evidence is later than latest OOS evidence.,
features_t0/features_t1,oos_after_de,model_candidate_feature,int64,Latest OOS evidence is later than latest DE evidence.,
