phase,bin,lower,upper,count,mean_confidence,accuracy,calibration_gap
T0,1,0.0,0.1,0,,,
T0,2,0.1,0.2,0,,,
T0,3,0.2,0.30000000000000004,0,,,
T0,4,0.30000000000000004,0.4,71,0.3710466623389342,0.30985915492957744,-0.061187507409356745
T0,5,0.4,0.5,152,0.4449178517447574,0.4934210526315789,0.04850320088682153
T0,6,0.5,0.6000000000000001,60,0.5493761864212564,0.45,-0.0993761864212564
T0,7,0.6000000000000001,0.7000000000000001,16,0.6349012615883215,0.625,-0.009901261588321497
T0,8,0.7000000000000001,0.8,1,0.7101109075562142,1.0,0.2898890924437858
T0,9,0.8,0.9,0,,,
T0,10,0.9,1.0,0,,,
T1,1,0.0,0.1,0,,,
T1,2,0.1,0.2,0,,,
T1,3,0.2,0.30000000000000004,0,,,
T1,4,0.30000000000000004,0.4,57,0.3760762249110422,0.3508771929824561,-0.02519903192858608
T1,5,0.4,0.5,151,0.4439305696290932,0.41721854304635764,-0.026712026582735582
T1,6,0.5,0.6000000000000001,59,0.5445517612587398,0.5932203389830508,0.04866857772431099
T1,7,0.6000000000000001,0.7000000000000001,24,0.6391941126380035,0.5,-0.13919411263800352
T1,8,0.7000000000000001,0.8,9,0.7387505068426315,0.5555555555555556,-0.18319495128707597
T1,9,0.8,0.9,0,,,
T1,10,0.9,1.0,0,,,
