phase,actual_class,predicted_class,count
T0,review_warranted,review_warranted,42
T0,review_warranted,review_not_warranted,24
T0,review_warranted,insufficient_evidence,24
T0,review_not_warranted,review_warranted,21
T0,review_not_warranted,review_not_warranted,54
T0,review_not_warranted,insufficient_evidence,30
T0,insufficient_evidence,review_warranted,28
T0,insufficient_evidence,review_not_warranted,38
T0,insufficient_evidence,insufficient_evidence,39
T1,review_warranted,review_warranted,47
T1,review_warranted,review_not_warranted,22
T1,review_warranted,insufficient_evidence,20
T1,review_not_warranted,review_warranted,18
T1,review_not_warranted,review_not_warranted,54
T1,review_not_warranted,insufficient_evidence,36
T1,insufficient_evidence,review_warranted,33
T1,insufficient_evidence,review_not_warranted,36
T1,insufficient_evidence,insufficient_evidence,34
