candidate_record_id,evidence_group,unanchored_class_changed,experimental_anchored_class_changed,total_variation_probability_change,mean_absolute_probability_change,p_review_warranted_change,experimental_anchor_t1_weight
CAN-Z1CEVWXUT0,meaningful_new_evidence,0,0,0.10036255338763908,0.06690836892509272,0.0342055836495329,1.0
CAN-SIB7ACY70G,meaningful_new_evidence,1,1,0.09417981563864497,0.06278654375909665,0.06731738338913656,1.0
CAN-PQXQQ41OZ5,meaningful_new_evidence,0,0,0.06368146193320978,0.04245430795547319,0.05338664301474283,1.0
CAN-QCF4GZN8TD,meaningful_new_evidence,0,0,0.10359146149815257,0.06906097433210172,0.0569873754496123,1.0
CAN-TP15Z7VRP7,meaningful_new_evidence,1,1,0.06553121977798204,0.04368747985198803,-0.06553121977798204,1.0
CAN-IM8E9J8Y7H,meaningful_new_evidence,0,0,0.042638615089726536,0.028425743393151025,-0.04263861508972652,1.0
CAN-IKOH5MXPHE,meaningful_new_evidence,0,0,0.060558394815396696,0.040372263210264464,0.041955370534405206,1.0
CAN-NPLI344G66,meaningful_new_evidence,0,0,0.07453668073595987,0.049691120490639916,0.04973070744605401,1.0
CAN-ZOT5VL4MCH,meaningful_new_evidence,0,0,0.050154928988236494,0.033436619325490996,0.01466342780360419,1.0
CAN-4OF8Y9P3W7,meaningful_new_evidence,0,0,0.0960036018365398,0.06400240122435986,0.09600360183653978,1.0
CAN-Z9GFHZRGVT,meaningful_new_evidence,1,1,0.14921575817178617,0.09947717211452412,0.1162186251358236,1.0
CAN-VEM9FLAUD4,meaningful_new_evidence,0,0,0.01841800297786013,0.012278668651906752,-0.011965584609144708,1.0
CAN-7S5O3NF7VE,meaningful_new_evidence,1,1,0.1807149402235955,0.12047662681573033,-0.18071494022359563,1.0
CAN-TF8EEP4TNZ,meaningful_new_evidence,1,1,0.13592784600184238,0.09061856400122825,0.11533341503540068,1.0
CAN-58WQJ4U3GW,meaningful_new_evidence,1,1,0.1239915093239529,0.0826610062159686,0.02869998881411448,1.0
CAN-AMJ562SVCQ,meaningful_new_evidence,1,1,0.13691888276127157,0.09127925517418105,-0.081906131376482,1.0
CAN-RODZDIBM5J,meaningful_new_evidence,0,0,0.08621744362120856,0.057478295747472374,-0.012229664226978632,1.0
CAN-AX19D3S77C,meaningful_new_evidence,0,0,0.08057674195484149,0.05371782796989433,0.08057674195484149,1.0
CAN-4KGSUV4HFA,meaningful_new_evidence,0,0,0.017357961729123877,0.011571974486082584,0.008038101255218977,1.0
