candidate_record_id,new_t1_record_count,new_t1_oos_count,new_t1_de_count,new_t1_state_missing_count,new_t1_source_domain_diversity,new_t1_new_record_count,new_t1_record_correction_count,new_t1_status_update_count,newly_effective_t0_record_count,delta_days_since_latest_oos,delta_days_since_latest_de,delta_oos_decay_90d,delta_de_decay_90d,delta_recent_oos_independent_source_count_90d,delta_recent_de_independent_source_count_90d,delta_active_address_oos_count,delta_active_address_de_count,delta_link_confidence_mean,delta_post_60d_oos_vehicle_signal_count,delta_post_60d_prior_state_persistence_any_present,delta_t1_update_observation_lag_mean_days,delta_t1_late_arriving_update_count_over_30d
CAN-Z1CEVWXUT0,0,0,0,0,0,0,0,0,0,96.0,96.0,-0.463589365282091,-0.1285337732541282,-1,0,0,0,0.0,0,0,0.0,0
CAN-SIB7ACY70G,2,2,0,0,1,1,0,1,2,-25.0,-44.0,0.7381165958286324,0.8791092178855221,-1,2,0,0,0.0002424242424242,2,1,37.0,1
CAN-PQXQQ41OZ5,1,0,1,0,1,1,0,0,0,88.0,-279.0,-0.5254801417674002,0.7373246715395443,-1,1,0,0,0.0023351648351648,0,0,29.0,0
CAN-QCF4GZN8TD,1,0,1,0,1,1,0,0,1,-216.0,-158.0,0.3777777951807385,0.5885627826808244,0,1,0,1,-0.0003076923076922,0,0,12.0,0
CAN-TP15Z7VRP7,2,1,1,0,2,0,0,2,0,-47.0,-104.0,0.8018933644282296,0.6886778274726345,1,1,1,0,-0.0005128205128204,0,0,14.0,0
CAN-IM8E9J8Y7H,2,1,1,0,2,1,1,0,0,-221.0,-38.0,0.567243474889757,0.3796365838123241,1,0,1,0,0.0018205128205128,0,0,29.0,1
CAN-IKOH5MXPHE,2,1,1,0,2,1,0,1,0,9.0,-110.0,0.2745372043751064,0.5701737866782903,1,1,0,0,0.0031944444444443,0,0,43.5,2
CAN-NPLI344G66,2,1,1,0,2,1,0,1,0,-120.0,-135.0,0.7663673520026235,0.6909519272304047,1,1,0,0,0.0023809523809524,0,0,22.0,1
CAN-ZOT5VL4MCH,2,1,1,0,1,1,1,0,0,-213.0,-75.0,0.6041346500016768,0.6277883103984501,1,0,0,0,-0.0004953560371518,0,0,34.5,1
CAN-4OF8Y9P3W7,2,0,2,0,2,0,1,1,1,-92.0,-208.0,0.5625716553324568,1.5257355427151302,1,2,0,1,0.001525974025974,0,0,27.0,1
CAN-Z9GFHZRGVT,2,0,2,0,2,0,1,1,1,185.0,-79.0,-0.4827390360102513,1.5531773558978117,0,2,-1,2,-0.0016666666666667,0,0,36.5,1
CAN-VEM9FLAUD4,2,0,1,1,2,1,1,0,0,25.0,-56.0,-0.0397124638125852,0.8459038219393796,0,1,0,0,-0.0003076923076922,0,0,9.5,0
CAN-7S5O3NF7VE,2,2,0,0,2,2,0,0,1,-74.0,-50.0,1.40957778400296,0.2058412034372444,1,0,1,0,-0.0009740259740259,0,0,9.5,0
CAN-TF8EEP4TNZ,0,0,0,0,0,0,0,0,3,149.0,-455.0,-0.1397519117427677,1.9258445179583497,0,2,0,1,-0.0042207792207791,0,0,0.0,0
CAN-58WQJ4U3GW,1,0,1,0,1,0,1,0,2,184.0,-137.0,-0.4890914409812953,1.6401357271589707,-1,2,0,2,-0.0059740259740259,0,0,23.0,0
CAN-AMJ562SVCQ,1,1,0,0,1,0,1,0,2,44.0,150.0,0.941855408450209,-0.0861536280095373,0,0,0,-1,-0.0065584415584415,0,0,48.0,1
CAN-RODZDIBM5J,2,1,1,0,2,2,0,0,1,-332.0,-29.0,0.6495337480889773,1.3044979128657483,1,1,0,1,-0.0028333333333333,0,0,30.5,1
CAN-AX19D3S77C,2,1,1,0,2,1,1,0,0,-342.0,-69.0,0.6934517027308044,0.5715823918449723,1,1,0,1,0.0014732142857143,0,0,36.5,2
CAN-4KGSUV4HFA,1,1,0,0,1,0,0,1,1,-43.0,51.0,0.234398635149831,0.074147253506956,0,0,0,1,0.0019047619047619,0,0,39.0,1
CAN-BTSSA3BW02,1,0,1,0,1,0,1,0,1,88.0,-100.0,-0.4542868904825167,1.0301824168394698,-1,2,0,-1,0.0001190476190476,0,0,30.0,0
CAN-O523BGV6IR,1,1,0,0,1,0,0,1,0,6.0,154.0,-0.1212525456919637,-0.6815153028892031,0,0,1,0,0.00010989010989,-1,0,46.0,1
