feature,importance,rank
active_address_de_count,14.652687809003426,1
active_address_oos_count,11.000349959595782,2
oos_decay_share_365d,7.844480741548639,3
latest_oos_recency_advantage_days,7.617931583639688,4
de_count_90d,7.123703294177571,5
days_since_latest_oos,6.711272736967936,6
linked_record_count,6.144013801472808,7
oos_share_known_state,6.065306046175275,8
state_missing_ratio,5.914072669298618,9
recent_latest_source_de_count_365d,4.522246623500478,10
recent_oos_independent_source_count_90d,3.9691720988048123,11
recent_latest_source_oos_count_365d,3.8038819003080517,12
link_confidence_mean,2.0961249455747875,13
recent_cross_source_conflict_present_365d,1.9288009395804666,14
days_past_60_day_grace_proxy,1.6897477903075868,15
active_oos_credential_count,1.6140195900388625,16
historical_oos_count_over_365d,1.5806112387652065,17
active_de_credential_count,1.3719364897507322,18
historical_oos_only,1.3504455654545415,19
de_residency_proxy_present,1.055765062548908,20
post_60d_prior_state_persistence_any_present,0.7339752816679219,21
distinct_oos_states,0.49506786180430457,22
source_diversity,0.4316245316783034,23
post_60d_oos_vehicle_signal_count,0.28276143833528644,24
