candidate_record_id,outer_fold
CAN-046H2OTGZ2,1
CAN-07K7VDEEMK,0
CAN-0BEG9SW2FJ,2
CAN-0EEV2PAF0Q,3
CAN-0ND8K10G3Q,1
CAN-0R2G3NUIKR,1
CAN-0XENT8TOVT,0
CAN-16LL783QTG,3
CAN-18HFR7ZPQ5,4
CAN-1EJVSHCWNY,3
CAN-1JQKMVCC0E,4
CAN-1NEQLC2YWG,2
CAN-1U7KYCHT04,2
CAN-1UXZVZSG4A,4
CAN-1WB2NA52JZ,1
CAN-1X36MKKDTS,0
CAN-1ZS1BZI6T1,2
CAN-20LP6R01W2,3
CAN-28HOG1H1PI,2
CAN-2B1096MPJS,0
CAN-2LQVYTP1NE,2
CAN-2MPIJSE7PT,4
CAN-2OHE79VIFA,0
CAN-2V0D61OSOH,3
CAN-30WX81N4ES,0
CAN-3D99WGLA9F,3
CAN-3E88BL7X8N,3
CAN-3H2ZQ20HYA,3
CAN-3JG44NWV2W,3
CAN-3L9PECKRSW,0
CAN-3V8APYMFFU,3
CAN-3W1WRGSSBR,4
CAN-4491B2CKSM,3
CAN-4BW4AXV2DW,4
CAN-4CFU2SAM9A,3
CAN-4DQEX1DFLP,0
CAN-4EK13UOVMH,0
CAN-4FO38FPD7B,0
CAN-4HICC8FK63,3
CAN-4JML2H5550,2
CAN-4QS9RM4XLH,0
CAN-4SMT2ZQ2JW,3
CAN-4T5MQ6DTMK,1
CAN-531EC6XM0A,0
CAN-56NGPDUGKO,3
CAN-58JRRKXCV8,4
CAN-5D0G3VUQUU,1
CAN-5EZS1T1ELJ,1
CAN-5J9D6PMOG7,4
CAN-5N3RUX7YHN,2
CAN-6045ADGW9W,0
CAN-682VA03Y7M,2
CAN-693NHGTCCO,2
CAN-6E9YCRS9LL,3
CAN-6EP6GXXTK9,0
CAN-6FIO389AU7,4
CAN-6N8NUY6QNZ,0
CAN-6NHOI7HD4X,1
CAN-6O36VBSAI9,4
CAN-6ULFMKJ73X,1
CAN-7HQWF459VW,4
CAN-7UQ40SSRBR,0
CAN-7YPZD0CRBH,2
CAN-7Z4I6X76ZY,1
CAN-82A1AW528U,4
CAN-8467CAI41V,3
CAN-86YS89WD1X,0
CAN-8BR6ZCR6C5,4
CAN-8G6HTDW3TS,0
CAN-8IVXRT38AV,0
CAN-8LF2PPDABK,1
CAN-8MG3KHERI3,3
