model,outer_fold,selected_config,inner_calibrated_log_loss,temperature,selected_iterations,log_loss,macro_f1,accuracy,brier_multiclass,brier_macro_ovr,ece_10bin
catboost,0,catboost_depth3,1.0569876697450025,0.880874091525676,182.0,0.9971365936463423,0.4824561403508772,0.48333333333333334,0.6003828958581352,0.20012763195271172,0.05907126007169361
catboost,1,catboost_depth4,1.0358022439472618,0.9487068006727661,318.0,1.0345472277264938,0.45,0.45,0.6195908699770031,0.20653028999233425,0.11418067762189774
catboost,2,catboost_depth3,1.038037840018646,1.0163316728129088,287.0,1.0776830933303283,0.39735982112143103,0.4,0.6612069272297916,0.2204023090765972,0.09193395344880205
catboost,3,catboost_depth3,1.0330415895711773,0.9307816764355894,279.0,0.9954779238691065,0.46383998158783957,0.4666666666666667,0.603870551630499,0.201290183876833,0.11541850301652308
catboost,4,catboost_depth3,1.0096152617470708,0.9874449625632264,375.0,1.101463081361248,0.4478632478632479,0.45,0.6678721749586813,0.22262405831956045,0.13425274865172818
logistic,0,logistic_c_1_0,1.0470208863894181,2.5422673223298586,,1.036170985909136,0.4639933166248955,0.4666666666666667,0.6243300466324476,0.20811001554414923,0.14162828912131764
logistic,1,logistic_c_0_1,1.0280558849936385,1.7021006598066362,,1.0713025192702823,0.48138384123696243,0.48333333333333334,0.6417307117500874,0.2139102372500292,0.12375796699551447
logistic,2,logistic_c_0_1,1.0405373033891177,1.8891408092404005,,1.0768532302435256,0.4194890077243018,0.4166666666666667,0.6568916622609573,0.2189638874203191,0.09448610121928387
logistic,3,logistic_c_0_1,1.084754123624801,3.7264100104178484,,1.0319793556488446,0.547220895046982,0.55,0.6232157761918171,0.20773859206393902,0.16548982088805833
logistic,4,logistic_c_0_1,1.030520973587254,1.649319611460397,,1.0748839081159836,0.4194577352472089,0.4166666666666667,0.6537943227320777,0.21793144091069264,0.06877028664051553
