phase,metric,mean_delta,delta_ci_2_5,delta_ci_97_5,bootstrap_probability_beneficial
T0,log_loss,-0.0008944540028071537,-0.005232989733601312,0.003366732162868289,0.647
T0,macro_f1,0.0030684026773974064,-0.014295004884520398,0.020722463809155267,0.6285
T0,brier_multiclass,-0.0007148481217337288,-0.003719454725699189,0.0022790305463219764,0.6735
T0,ece_10bin,0.004814825255882859,-0.023781140079258134,0.036802079126425455,0.3965
T0,average_precision_review_warranted,0.0011773053575441115,-0.013899022345351788,0.015430980845004785,0.5725
T0,ndcg_review_warranted,-0.002257964057476605,-0.03171498947009055,0.016397333933251643,0.4525
T0,precision_at_top_10pct,0.01618333333333333,-0.06666666666666671,0.1333333333333333,0.476
T0,recall_at_top_20pct,0.006176875823845931,-0.019427088339901942,0.033333333333333326,0.4855
T1,log_loss,-0.0011409225271548846,-0.010917542228850625,0.008107798800383129,0.5815
T1,macro_f1,0.003501593374895515,-0.02404780343258314,0.03059474091123553,0.61
T1,brier_multiclass,7.177803623343127e-05,-0.006313356810767551,0.006083584954203481,0.49
T1,ece_10bin,-0.014492073551810019,-0.054548324451280314,0.024472987725713373,0.7665
T1,average_precision_review_warranted,-0.007395231345939816,-0.031951331086784544,0.016074849935991488,0.266
T1,ndcg_review_warranted,-0.01589110138613327,-0.04809176466270433,0.005599667148973016,0.1265
T1,precision_at_top_10pct,-0.030699999999999998,-0.1333333333333333,0.06666666666666665,0.1375
T1,recall_at_top_20pct,0.017944985906758398,-0.030047872340425556,0.06383660665575559,0.711
