transition_type,from_class,to_class,count
actual,review_warranted,review_warranted,77
actual,review_warranted,review_not_warranted,1
actual,review_warranted,insufficient_evidence,12
actual,review_not_warranted,review_warranted,0
actual,review_not_warranted,review_not_warranted,85
actual,review_not_warranted,insufficient_evidence,20
actual,insufficient_evidence,review_warranted,12
actual,insufficient_evidence,review_not_warranted,22
actual,insufficient_evidence,insufficient_evidence,71
predicted,review_warranted,review_warranted,64
predicted,review_warranted,review_not_warranted,9
predicted,review_warranted,insufficient_evidence,18
predicted,review_not_warranted,review_warranted,10
predicted,review_not_warranted,review_not_warranted,68
predicted,review_not_warranted,insufficient_evidence,38
predicted,insufficient_evidence,review_warranted,24
predicted,insufficient_evidence,review_not_warranted,35
predicted,insufficient_evidence,insufficient_evidence,34
