candidate_record_id,t0__address_history,t0__external_context_signals,t0__license_id_events,t0__vehicle_title_events,t0__work_location_signals,t1__evidence_update_stream
CAN-Z1CEVWXUT0,3,3,3,3,2,0
CAN-SIB7ACY70G,3,2,3,3,2,2
CAN-PQXQQ41OZ5,3,2,3,3,2,1
CAN-QCF4GZN8TD,3,3,3,3,2,1
CAN-TP15Z7VRP7,2,3,3,3,2,2
CAN-IM8E9J8Y7H,2,3,3,3,2,2
CAN-IKOH5MXPHE,4,3,3,4,2,2
CAN-NPLI344G66,1,3,3,3,2,2
CAN-ZOT5VL4MCH,3,4,3,4,3,2
CAN-4OF8Y9P3W7,2,2,3,3,2,2
CAN-Z9GFHZRGVT,3,3,3,2,2,2
CAN-VEM9FLAUD4,2,3,3,3,2,2
CAN-7S5O3NF7VE,3,2,3,3,1,2
CAN-TF8EEP4TNZ,3,3,3,3,2,0
CAN-58WQJ4U3GW,2,3,3,3,2,1
CAN-AMJ562SVCQ,2,3,3,3,2,1
CAN-RODZDIBM5J,3,2,3,3,2,2
CAN-AX19D3S77C,3,2,3,4,2,2
CAN-4KGSUV4HFA,3,3,3,2,2,1
CAN-BTSSA3BW02,3,3,3,2,2,1
CAN-O523BGV6IR,2,3,3,3,2,1
CAN-NT7RNCYJL3,3,3,3,3,2,0
CAN-YZYTAO4MG4,3,5,2,3,2,1
CAN-2Z7D2FBM05,3,3,3,3,2,1
CAN-S177BFJOH6,2,3,3,3,2,1
CAN-6TS8MFZNG7,2,3,3,2,2,2
CAN-J3IXYWVLX8,2,3,2,2,2,2
CAN-VMUFIBZQYL,3,3,3,3,1,2
CAN-34OU3CD4LO,3,2,3,3,2,2
CAN-39WXVWGNAS,3,3,3,1,2,1
CAN-K3GD1R3ANL,3,3,3,3,2,2
CAN-P3X1HRNZ0X,2,3,3,3,2,1
CAN-I041L39VMI,2,3,3,2,2,2
CAN-Z7V3713XL1,2,2,3,3,2,2
CAN-03B5WWQ0NT,2,2,3,3,2,1
CAN-Y6C6DTXZ5C,3,2,3,3,1,1
CAN-O3J1RKC9U9,3,2,3,3,2,2
CAN-MF20NJLL6U,3,3,3,3,2,1
CAN-39PQSDB3AY,3,3,3,2,2,2
CAN-DKDW3YA09O,3,2,3,3,2,2
CAN-68262CC3UB,2,2,3,3,2,0
CAN-2M5IXJ7KVX,2,3,3,3,1,1
CAN-53A3L81YS3,3,3,3,2,2,1
CAN-DDCE810DNO,3,3,3,3,2,2
CAN-9ZBAACKT5G,3,1,3,3,2,1
CAN-PY1ABCR9PI,1,2,3,2,2,1
CAN-C2K0J7T6EI,3,2,3,3,1,1
CAN-4IF0CSKHW3,2,1,3,3,2,1
CAN-W54K6RF6BF,3,3,3,3,1,1
CAN-51BRUH7TPO,3,3,3,3,2,1
