phase,source,link_tier,link_method,record_count
T0,address_history,B,exact_unique_address_and_name,2
T0,address_history,B,unique_exact_normalized_full_name,437
T0,address_history,B,verified_dob_or_address_alias,28580
T0,address_history,C,strong_fuzzy_name_clear_margin,3728
T0,address_history,UNRESOLVED,ambiguous_verified_alias,639
T0,address_history,UNRESOLVED,no_name_block,104
T0,address_history,UNRESOLVED,short_name_not_fuzzy_matched,4348
T0,address_history,UNRESOLVED,weak_or_ambiguous_fuzzy_name,10283
T0,external_context_signals,B,unique_exact_normalized_full_name,426
T0,external_context_signals,B,verified_dob_or_address_alias,28623
T0,external_context_signals,C,strong_fuzzy_name_clear_margin,3683
T0,external_context_signals,UNRESOLVED,ambiguous_verified_alias,661
T0,external_context_signals,UNRESOLVED,no_name_block,88
T0,external_context_signals,UNRESOLVED,short_name_not_fuzzy_matched,4305
T0,external_context_signals,UNRESOLVED,weak_or_ambiguous_fuzzy_name,10330
T0,license_id_events,A,exact_name_and_dob,26937
T0,license_id_events,A,fuzzy_name_and_exact_dob,6915
T0,license_id_events,A,unique_dob_and_acceptable_name,869
T0,license_id_events,B,unique_exact_normalized_full_name,38
T0,license_id_events,B,verified_dob_or_address_alias,930
T0,license_id_events,C,strong_fuzzy_name_clear_margin,222
T0,license_id_events,UNRESOLVED,ambiguous_verified_alias,71
T0,license_id_events,UNRESOLVED,no_name_block,94
T0,license_id_events,UNRESOLVED,short_name_not_fuzzy_matched,1918
T0,license_id_events,UNRESOLVED,weak_or_ambiguous_fuzzy_name,10130
T0,vehicle_title_events,A,unanimous_t0_vehicle_ref_with_strong_name,129
T0,vehicle_title_events,B,unique_exact_normalized_full_name,440
T0,vehicle_title_events,B,verified_dob_or_address_alias,28595
T0,vehicle_title_events,C,strong_fuzzy_name_clear_margin,3672
T0,vehicle_title_events,UNRESOLVED,ambiguous_verified_alias,693
T0,vehicle_title_events,UNRESOLVED,no_name_block,73
T0,vehicle_title_events,UNRESOLVED,short_name_not_fuzzy_matched,4199
T0,vehicle_title_events,UNRESOLVED,weak_or_ambiguous_fuzzy_name,10307
T0,work_location_signals,B,unique_exact_normalized_full_name,269
T0,work_location_signals,B,verified_dob_or_address_alias,18932
T0,work_location_signals,C,strong_fuzzy_name_clear_margin,2432
T0,work_location_signals,UNRESOLVED,ambiguous_verified_alias,413
T0,work_location_signals,UNRESOLVED,no_name_block,7
T0,work_location_signals,UNRESOLVED,short_name_not_fuzzy_matched,1956
T0,work_location_signals,UNRESOLVED,weak_or_ambiguous_fuzzy_name,122
T1,evidence_update_stream,A,known_vehicle_ref_with_noncontradictory_name,3224
T1,evidence_update_stream,B,unique_exact_normalized_full_name,177
T1,evidence_update_stream,B,verified_dob_or_address_alias,11526
T1,evidence_update_stream,C,strong_fuzzy_name_clear_margin,1362
T1,evidence_update_stream,UNRESOLVED,ambiguous_vehicle_ownership,412
T1,evidence_update_stream,UNRESOLVED,ambiguous_verified_alias,293
T1,evidence_update_stream,UNRESOLVED,no_name_block,27
T1,evidence_update_stream,UNRESOLVED,short_name_not_fuzzy_matched,1675
T1,evidence_update_stream,UNRESOLVED,vehicle_name_conflict,41
T1,evidence_update_stream,UNRESOLVED,vehicle_name_noncontradiction_failed,941
T1,evidence_update_stream,UNRESOLVED,weak_or_ambiguous_fuzzy_name,4322
