candidate_record_id,linked_record_count,source_diversity,state_missing_ratio,link_confidence_mean,oos_share_known_state,distinct_oos_states,active_address_oos_count,active_address_de_count,active_oos_credential_count,active_de_credential_count,de_count_90d,historical_oos_count_over_365d,days_since_latest_oos,latest_oos_recency_advantage_days,historical_oos_only,oos_decay_share_365d,recent_oos_independent_source_count_90d,recent_latest_source_oos_count_365d,recent_latest_source_de_count_365d,recent_cross_source_conflict_present_365d,de_residency_proxy_present,days_past_60_day_grace_proxy,post_60d_oos_vehicle_signal_count,post_60d_prior_state_persistence_any_present
CAN-Z1CEVWXUT0,14,5,0.0,0.9571428571428572,0.3571428571428571,1,1,0,1,1,0,3,50.0,243.0,0,0.4719941403691539,1,2,1,1,1,0,0,0
CAN-SIB7ACY70G,11,5,0.0909090909090909,0.954090909090909,0.7,1,1,1,0,0,0,5,45.0,46.0,0,0.6066641508034399,2,2,1,1,1,0,0,0
CAN-PQXQQ41OZ5,13,5,0.0769230769230769,0.9573076923076924,0.5,1,0,1,1,0,0,4,24.0,286.0,0,0.5837584501880667,1,2,1,1,0,0,0,0
CAN-QCF4GZN8TD,13,5,0.0,0.9573076923076924,0.5384615384615384,1,1,0,2,0,0,6,316.0,-143.0,0,0.5394586149279095,0,1,2,1,0,0,0,0
CAN-TP15Z7VRP7,13,5,0.0,0.9588461538461538,0.5384615384615384,1,0,1,1,0,0,5,53.0,75.0,0,0.50062871535246,1,1,3,1,0,0,0,0
CAN-IM8E9J8Y7H,13,5,0.0,0.9588461538461538,0.4615384615384615,1,1,0,0,1,1,5,272.0,-225.0,0,0.4485622127749866,0,1,2,1,1,0,0,0
CAN-IKOH5MXPHE,16,5,0.0,0.94375,0.5625,3,1,0,1,1,0,4,37.0,116.0,0,0.6356249247985344,1,3,2,1,1,0,0,0
CAN-NPLI344G66,12,5,0.0,0.9558333333333332,0.5,1,0,0,1,0,0,4,132.0,37.0,0,0.6046106170480878,0,2,1,1,1,0,0,0
CAN-ZOT5VL4MCH,17,5,0.0,0.9597058823529412,0.4705882352941176,2,1,1,0,0,1,7,267.0,-177.0,0,0.4629201519047843,0,1,2,1,1,0,0,0
CAN-4OF8Y9P3W7,11,5,0.0909090909090909,0.9595454545454544,0.3,1,0,0,0,1,0,1,120.0,106.0,0,0.5331369431743129,0,2,0,0,0,0,0,0
CAN-Z9GFHZRGVT,12,5,0.0,0.9633333333333334,0.5,1,1,0,2,0,0,3,108.0,-4.0,0,0.4957217777925348,0,2,3,1,1,0,0,0
CAN-VEM9FLAUD4,13,5,0.0769230769230769,0.9573076923076924,0.5833333333333334,1,0,0,2,0,1,6,205.0,-146.0,0,0.4240673334189536,0,1,2,1,0,0,0,0
CAN-7S5O3NF7VE,11,4,0.0,0.9595454545454544,0.6363636363636364,1,0,1,1,1,1,4,85.0,5.0,0,0.5678850188766226,1,2,1,1,0,0,0,0
CAN-TF8EEP4TNZ,11,5,0.0,0.9513636363636364,0.6363636363636364,1,0,0,1,0,0,5,302.0,174.0,0,0.7017454590084424,0,2,0,0,0,0,0,0
CAN-58WQJ4U3GW,11,5,0.0,0.9595454545454544,0.4545454545454545,1,0,0,0,0,0,3,87.0,73.0,0,0.5592855004245442,1,2,1,1,1,694,0,0
CAN-AMJ562SVCQ,11,5,0.0,0.9622727272727272,0.3636363636363636,1,0,1,1,1,0,3,6.0,338.0,0,0.3642345477167125,1,1,1,1,0,0,0,0
CAN-RODZDIBM5J,12,5,0.0,0.9575,0.6666666666666666,1,0,0,1,0,1,8,378.0,-333.0,1,0.5064260358388826,0,0,1,0,1,0,0,0
CAN-AX19D3S77C,14,5,0.0,0.9607142857142856,0.5,1,0,0,0,1,0,7,383.0,-279.0,1,0.4901012968149871,0,0,1,0,0,0,0,0
CAN-4KGSUV4HFA,12,5,0.0,0.9591666666666666,0.5833333333333334,1,0,0,1,0,1,5,83.0,-79.0,0,0.5674122510466618,1,2,1,1,1,0,0,0
CAN-BTSSA3BW02,12,5,0.0,0.9541666666666666,0.5,1,0,2,0,0,0,4,21.0,111.0,0,0.4210309763024032,1,2,2,1,1,535,1,1
CAN-O523BGV6IR,13,5,0.0,0.9534615384615384,0.3846153846153846,1,0,0,0,1,0,2,42.0,79.0,0,0.4799409520026911,1,2,2,1,1,1878,1,0
CAN-NT7RNCYJL3,14,5,0.0714285714285714,0.9585714285714284,0.3076923076923077,1,0,1,0,2,2,3,210.0,-192.0,0,0.2426519973306236,0,1,4,1,1,298,0,0
CAN-YZYTAO4MG4,15,5,0.0666666666666666,0.953,0.7142857142857143,3,0,1,0,0,2,6,26.0,18.0,0,0.588579963946121,1,2,2,1,1,0,0,0
CAN-2Z7D2FBM05,13,5,0.0,0.9626923076923076,0.5384615384615384,1,0,0,1,0,1,5,15.0,-15.0,0,0.4717814342301969,1,2,2,1,0,0,0,0
CAN-S177BFJOH6,12,5,0.0,0.9583333333333334,0.5,1,0,0,1,1,2,6,395.0,-378.0,1,0.2900765822442381,0,0,3,0,0,0,0,0
CAN-6TS8MFZNG7,11,5,0.0,0.9495454545454546,0.5454545454545454,1,0,0,0,0,0,5,178.0,-37.0,0,0.3722061734456737,0,0,2,0,1,0,0,0
CAN-J3IXYWVLX8,11,5,0.0,0.9495454545454546,0.4545454545454545,1,0,0,0,0,1,5,409.0,-347.0,1,0.3436786738018429,0,0,2,0,0,0,0,0
CAN-VMUFIBZQYL,13,5,0.0,0.9642307692307692,0.5384615384615384,1,1,0,0,1,0,6,109.0,96.0,0,0.6141044516306681,0,1,1,1,1,0,0,0
CAN-34OU3CD4LO,13,5,0.0,0.9426923076923076,0.3846153846153846,1,0,0,1,0,2,5,401.0,-360.0,1,0.2455209477880343,0,0,4,0,0,0,0,0
CAN-39WXVWGNAS,12,5,0.0,0.9591666666666666,0.5,1,1,0,1,0,1,4,161.0,-110.0,0,0.568250204308658,0,2,1,1,0,0,0,0
CAN-K3GD1R3ANL,11,5,0.0,0.9513636363636364,0.6363636363636364,1,0,1,1,1,0,6,34.0,461.0,0,0.6945362253706491,1,1,0,0,1,435,1,1
